t(days)	RNP(psia2/cp-D/Mscf)
0.25	1361579.6320402352
0.33040833333333336	1956511.4924027447
0.4861958333333333	63056594.477724686
0.7977666666666666	121219436.43051009
1.4209083333333332	4695343.309827343
2.667195833333333	6423161.727599926
5.07725	8823611.225507181
9.897375	47260186.59356248
19.198041666666665	160892113.33222923
35.644875	285253402.7730999
66.05958333333334	147986701.42478308
124.99208333333333	43905558.85044351
188.99208333333334	54925219.82224909
252.99208333333334	64572087.22804955
316.99208333333337	73193310.96008419
380.9920833333333	242282044.49873626
444.9916666666666	88246151.82561645
508.9916666666666	42478766.86499102
572.9916666666667	1788948.4080937952
636.9916666666667	107205726.35597749
700.9916666666667	112852915.40841524
764.9916666666667	118240033.64701241
828.9916666666667	11059609.396041676
892.9916666666667	181159656.56838953
956.9916666666667	133134715.11106944
1020.9916666666667	137751224.74883613
1084.9916666666666	142221620.88329086
1148.9916666666666	146559511.3371095
1212.9916666666666	151212248.99487665
1276.9916666666666	12023125.085081011
1340.9916666666666	8284207.562146276
1404.9916666666668	66287892.20687997
1468.9916666666668	26648870.995509177
1532.9916666666668	170358081.7113927
1596.9916666666668	204394761.24246845
1660.9916666666668	306232858.43872136
1724.9916666666668	181151898.88860813
1788.9916666666668	340130646.56693506
1852.9916666666668	188037042.8047953
1916.9916666666668	191398624.3692269
1980.9916666666668	254361835.42994255
2044.9916666666668	197978065.31873927
2108.991666666667	236431618.28321838
2172.991666666667	204396026.01222086
2236.991666666667	311720912.70883447
2300.991666666667	422180600.0590024
2364.991666666667	213742998.80670202
2428.991666666667	48272065.138041615
2492.991666666667	472039148.2058122
2556.991666666667	250418247.0331358
2620.991666666667	225804125.6869851
2684.991666666667	373369638.8401582
2748.991666666667	214482100.31208834
2812.991666666667	131798706.81037638
2876.991666666667	237519010.22201517
2940.991666666667	42935249.49090946
3004.991666666667	472858745.1257678
3068.991666666667	253318717.78825387
3132.991666666667	248986571.43882632
3196.991666666667	251824186.4712152
3260.991666666667	32812349.320141554
3324.991666666667	14472624.843537927
3388.991666666667	122366158.14048392
3452.991666666667	263095263.82945153
3516.991666666667	266917093.87184814
3580.991666666667	268694764.6189113
3650.0	271705372.18945765
3714.0	274494884.3100728
