t(days)	RNP(psia2/cp-D/Mscf)
0.25	60175425.99467467
0.33040833333333336	67295502.4501545
0.4861958333333333	183726008.56087643
0.7977666666666666	12798641.010981705
1.4209083333333332	4695343.309827343
2.667195833333333	6423161.727599926
5.07725	8823611.225507181
9.897375	12257510.860110162
19.198041666666665	182809021.97627515
35.644875	23346507.916668877
66.05958333333334	31892730.98385814
124.99208333333333	43905558.85044351
188.99208333333334	297164127.3994084
252.99208333333334	64572087.22804955
316.99208333333337	73193310.96008419
380.9920833333333	81029511.38735723
444.9916666666666	54528712.90108589
508.9916666666666	94960250.1037196
572.9916666666667	101258347.81375523
636.9916666666667	107205726.35597749
700.9916666666667	105880626.84557794
764.9916666666667	87677614.91665561
828.9916666666667	174667388.74140537
892.9916666666667	128356932.61397581
956.9916666666667	389816727.6826925
1020.9916666666667	137751224.74883613
1084.9916666666666	142221620.88329086
1148.9916666666666	146559511.3371095
1212.9916666666666	92428086.87638983
1276.9916666666666	154882014.1625986
1340.9916666666666	175422742.36026338
1404.9916666666668	90670762.97566433
1468.9916666666668	166616873.85877645
1532.9916666666668	170358081.7113927
1596.9916666666668	207047306.44059235
1660.9916666666668	322221803.4592043
1724.9916666666668	249189280.33140695
1788.9916666666668	395854951.05255306
1852.9916666666668	208930235.25340337
1916.9916666666668	191398624.3692269
1980.9916666666668	151090264.4999705
2044.9916666666668	197978065.31873927
2108.991666666667	35189068.44887024
2172.991666666667	15118402.339411616
2236.991666666667	381474486.93320966
2300.991666666667	210659269.27538726
2364.991666666667	213742998.80670202
2428.991666666667	349476872.58611166
2492.991666666667	219823862.7540658
2556.991666666667	222825336.34458113
2620.991666666667	225804125.6869851
2684.991666666667	228761254.94517443
2748.991666666667	231698187.59576446
2812.991666666667	7269320.77889815
2876.991666666667	237519010.22201517
2940.991666666667	470817356.6253027
3004.991666666667	243277464.5013008
3068.991666666667	116512582.33710265
3132.991666666667	88188858.59401292
3196.991666666667	251824186.4712152
3260.991666666667	313411996.08051646
3324.991666666667	257474123.81707197
3388.991666666667	172149339.13591534
3452.991666666667	283875537.7153514
3516.991666666667	292227400.7946641
3580.991666666667	268694764.6189113
3650.0	27534939.706974357
3714.0	274494884.3100728
3778.0	471433967.36747456
3842.0	54469700.30846667
3906.0	282854774.6435953
3970.0	536998882.3707802
4034.0	2718529669.2437887
4098.0	369409100.8386584
4162.0	406578619.05515325
4226.0	1471737142.475457
4290.0	299576357.2538301
4354.0	3327762457.88808
4418.0	305165523.374914
4482.0	1915310003.2628593
4546.0	2612084597.488471
4610.0	338581562.3971935
4674.0	202628681.56225607
4738.0	1732534353.2954042
4802.0	322021495.22140443
4866.0	324847162.104427
4930.0	3325692233.3474617
4994.0	1765200930.5834422
5058.0	1606679833.2876852
5122.0	2540006578.5318727
5186.0	339060327.52895206
5250.0	341921580.3480016
5314.0	344790655.7024004
5378.0	1431236376.0823283
5442.0	2814970885.737504
5506.0	353436347.3857875
5570.0	356334897.29313457
5634.0	2189683594.5372386
5698.0	882595925.5988523
5762.0	365070788.2935507
5826.0	367999646.0533107
5890.0	1705930700.8244932
5954.0	1848672203.312012
6018.0	1245750150.4275517
6082.0	3063481971.06026
6146.0	3062140350.243655
6210.0	385742709.46892184
6274.0	443352870.79649097
6338.0	760130965.0858462
6402.0	596208806.5486709
6466.0	397743901.4863828
6530.0	1997997299.872405
6594.0	1603082730.9610505
6658.0	260417901.8857985
6722.0	409893888.2770246
6786.0	2879697050.1658134
6850.0	2906154715.8791604
6914.0	1920112205.8124936
6978.0	422191969.318306
7042.0	2708271418.6207185
7106.0	428399017.1894345
7170.0	431517463.2993539
7234.0	434645102.3892468
7300.0	1036433872.8392835
7364.0	441030036.2245989
7428.0	444187347.2013509
7492.0	447357933.14076734
7556.0	450534846.66372013
7620.0	453724022.9539432
7684.0	1108864973.1681147
7748.0	460132826.8299062
7812.0	1990905784.611075
7876.0	1638305526.8280385
7940.0	469823501.2716356
8004.0	2845939135.1311994
8068.0	476332663.6456929
8132.0	856248261.9524659
8196.0	482889389.4954453
8260.0	486181301.1774782
8324.0	3365776511.8093953
8388.0	218082703.3767596
8452.0	496125582.96100944
8516.0	3428743378.5090694
8580.0	946678082.4107921
8644.0	1415648052.3036485
8708.0	509532547.25745326
8772.0	512910635.6674675
8836.0	516302307.1107868
8900.0	2680481758.8864703
8964.0	523116148.725815
9028.0	526537336.2699547
9092.0	529973387.2651337
9156.0	533417889.27202654
9220.0	2307164217.864639
9284.0	540342578.955218
9348.0	3080675000.074524
9412.0	547310989.6818249
9476.0	550812499.9077023
9540.0	554322782.1915964
9604.0	224194436.8384403
9668.0	561381088.2904247
9732.0	564928353.2492726
9796.0	2010416064.4457393
9860.0	533802437.65059716
9924.0	826479301.9350805
9988.0	579227444.0617919
10052.0	582829343.1133891
10116.0	586446755.120665
10180.0	495407104.9444573
10244.0	593711917.5575542
10308.0	1959703227.530807
10372.0	601019589.4455041
10436.0	506834232.53185064
10500.0	608378131.0263083
10564.0	612075067.6356385
10628.0	615780539.2607211
10692.0	1918036717.2639947
10756.0	617058131.8550711
10820.0	1452145070.2708826
10884.0	630728633.8644519
10950.0	3014151841.652324
11014.0	638394963.0927631
11078.0	642183212.8202795
11142.0	2191796915.5105696
11206.0	1910448271.4482107
11270.0	3493624937.7796335
11334.0	657466808.5477659
11398.0	661316288.0640403
11462.0	665182584.4392682
11526.0	3547844889.071689
11590.0	2354315717.968985
11654.0	676840912.2831342
11718.0	2397310198.070672
11782.0	1461789717.720038
11846.0	688609358.6996111
11910.0	692554927.4805757
11974.0	3147490353.8347974
12038.0	700488367.6872941
12102.0	704470313.1743633
12166.0	708465429.05734
12230.0	712478844.385619
12294.0	716499376.2993544
12358.0	720532070.5159533
12422.0	724576568.4243668
12486.0	3166761191.93705
12550.0	732705251.7233602
12614.0	736788790.8643633
12678.0	740882713.6157033
12742.0	2567693438.1815777
12806.0	1213138419.2029607
12870.0	3727852368.8537736
12934.0	757390720.2389662
12998.0	2111075280.8682613
13062.0	765715749.4644386
13126.0	769896319.5440717
13190.0	1052721186.4351592
13254.0	778304787.4594803
13318.0	782519056.3362199
13382.0	2256427894.9190235
13446.0	790998601.7831283
13510.0	795263492.1336807
13574.0	799533409.0838422
13638.0	803814712.479204
13702.0	3516649356.2796297
13766.0	812424156.1864265
13830.0	816744651.1198105
13894.0	821082368.6317128
13958.0	452013887.1265202
14022.0	1203170771.3571029
14086.0	1392002391.0394971
14150.0	838556298.7386442
14214.0	2653315888.521153
14278.0	637971053.3458695
14342.0	851787290.2731425
14406.0	856230498.3983426
14470.0	475555650.544917
14534.0	3126801055.0054955
14600.0	869761382.3935541
14664.0	874254964.3458767
14728.0	3107072224.372389
14792.0	883273889.705745
14856.0	1586538948.650678
14920.0	3719165953.3332224
14984.0	896910255.5186585
15048.0	901479901.2447056
15112.0	906069885.3599627
15176.0	910662294.3679515
15240.0	915274489.692724
15304.0	919897270.8838698
15368.0	924530248.089291
15432.0	103088131.68955398
15496.0	2503011848.4966984
15560.0	938520370.6538167
15624.0	943210437.7212949
15688.0	947913823.622502
15752.0	2683293551.3186197
15816.0	1683593212.3186421
15880.0	962104775.2314781
15944.0	1401601688.976121
16008.0	2247502085.0453916
16072.0	1570445851.589039
16136.0	981213669.3994055
16200.0	986023637.1480614
16264.0	2127647919.472003
16328.0	995687370.9186485
16392.0	1701153908.8566523
16456.0	887245010.6411091
16520.0	1529236486.3543959
16584.0	3603892500.9272165
16648.0	1020084861.0479568
16712.0	1025004449.2017521
16776.0	1029937525.0032606
16840.0	3728813455.934261
16904.0	3783024326.5052605
16968.0	1044820520.6764991
17032.0	1049810459.1614194
17096.0	1727207802.2061281
17160.0	1396782860.751825
17224.0	2182516522.4029584
17288.0	2970539580.9918175
17352.0	1074963403.3546624
17416.0	388537416.9183676
17480.0	2176801696.0336685
17544.0	1371867387.0580583
17608.0	1095333096.5937655
17672.0	1100459203.9398234
17736.0	1105601994.8230596
17800.0	1471804997.9442897
17864.0	2677030283.310259
17928.0	1121114860.5667226
17992.0	1126311218.3057308
18056.0	1131521577.4536808
18120.0	3174397759.0953865
18184.0	1141984565.1119246
18250.0	1147404941.2969117
18314.0	1152674263.8861942
18378.0	1157959069.8523357
18442.0	4097791093.911271
18506.0	712961621.5288965
18570.0	1173892088.9018407
18634.0	1179231748.066553
18698.0	1184585527.1137567
18762.0	220085549.72494316
18826.0	1195335856.0147114
18890.0	1200733401.7678158
18954.0	1206145524.3958514
19018.0	912459243.2059103
19082.0	330159847.4053242
19146.0	2155455381.764004
19210.0	1227931093.1935768
19274.0	1233413553.2078488
19338.0	409723105.0601562
19402.0	2863223101.295478
19466.0	1249948783.547474
19530.0	2420028195.1297503
19594.0	967397916.649994
19658.0	1266619575.7743
19722.0	3337532797.004455
19786.0	1277803144.39766
19850.0	2510672889.5083494
19914.0	2978041798.5778065
19978.0	2061205645.8999639
20042.0	1300342676.9294183
20106.0	1306013921.5688026
20170.0	1311699725.6570098
20234.0	1317399821.4264634
20298.0	3071427568.5506463
20362.0	2839546402.7205005
20426.0	1334592644.363699
20490.0	1340352961.5376978
20554.0	4267875355.1031427
20618.0	741804203.3597865
20682.0	1357724210.2926645
20746.0	1363542533.885833
20810.0	2164809742.143696
20874.0	1375222367.7842643
20938.0	1381085380.4253027
21002.0	4467377372.323101
21066.0	1986166859.2104537
21130.0	1398767999.1764667
21194.0	2062029424.3363671
21258.0	1410631936.8086393
21322.0	3508771332.22159
21386.0	4038909343.3487887
21450.0	2306328023.580247
21514.0	2447386413.9183125
21578.0	748641270.8563673
21642.0	1446571883.2916212
21706.0	1452613706.5327203
21770.0	1458671917.3662734
21834.0	1464746292.6292598
21900.0	1471027232.8947997
21964.0	2481774474.865609
22028.0	685611935.1343478
22092.0	1489384264.4254825
22156.0	2971119295.5422583
22220.0	1501698011.7303655
22284.0	1507877808.9022064
22348.0	1514071730.9053333
22412.0	3095566109.5638165
22476.0	1526508331.8474085
22540.0	1532748028.425262
22604.0	1539003315.2165334
22668.0	1545276513.3517296
22732.0	1551564848.2672935
22796.0	1557868063.4197662
22860.0	2635382762.3862486
22924.0	4285818475.8680553
22988.0	1576864329.985508
23052.0	1256689163.9130745
23116.0	1589603349.0649652
23180.0	1595998355.1987956
23244.0	404872038.08367085
23308.0	1608835513.1610458
23372.0	4333659095.327356
23436.0	2720042898.029165
23500.0	4141756617.2465734
23564.0	4461915213.769392
23628.0	1641194644.2668147
23692.0	81228483.01583123
23756.0	4640779969.252085
23820.0	1660796129.93056
23884.0	3668422592.145767
23948.0	1673942320.7282968
24012.0	2116754341.497382
24076.0	2932471871.8119116
24140.0	1693777507.5417604
24204.0	3667016049.989421
24268.0	1177150911.6367164
24332.0	1713753836.6598473
24396.0	1720441406.1638973
24460.0	4373361363.194915
24524.0	1733867756.2182412
24588.0	1740609364.6558914
24652.0	4534523127.791529
24716.0	1754135368.4489157
24780.0	621100511.2711318
24844.0	1767722133.8171234
24908.0	1774540613.8822403
24972.0	1088496901.2041535
25036.0	20650330.724892616
25100.0	1795086812.9898732
25164.0	1801964926.4149287
25228.0	3718615191.4268465
25292.0	1815774218.2293003
25356.0	3872494691.7152267
25420.0	1036272166.3758475
25484.0	4146270216.531962
25550.0	1843796535.5527773
25614.0	2924334901.366785
25678.0	460646266.18225
25742.0	1864825007.702265
25806.0	1871864942.1746178
25870.0	1878924091.461428
25934.0	1885998465.6712399
25998.0	1893087805.7316523
26062.0	2539936483.274354
26126.0	1907314227.017773
26190.0	1914450819.7054086
26254.0	3220217756.8323927
26318.0	1928773503.2506511
26382.0	1935959131.6008306
26446.0	1943161986.0615635
26510.0	1950381852.0706694
26574.0	4301046581.568483
26638.0	3383655818.9008164
26702.0	1972141296.324491
26766.0	1979422749.3886387
26830.0	1986724241.7549632
26894.0	1037708985.0675485
26958.0	2001373817.2114995
27022.0	2008721391.420433
27086.0	2016088175.3854158
27150.0	2023469597.5094008
27214.0	2030865384.2750797
27278.0	3978203097.307535
27342.0	1091810085.3461542
27406.0	2053163287.0225756
27470.0	2060627566.5915651
27534.0	2068109551.8318985
27598.0	2075604406.8975472
27662.0	2083116481.7752914
27726.0	4832713939.21933
27790.0	2098196146.8179688
27854.0	1926824164.58862
27918.0	4872710317.142332
27982.0	909362903.0069814
28046.0	3952137849.816972
28110.0	4136242692.6764174
28174.0	2490926929.914089
28238.0	1255154665.2719383
28302.0	2159169051.98552
28366.0	1738640694.4658473
28430.0	3817261708.4993963
28494.0	2182311341.7356935
28558.0	1199874008.5884292
28622.0	1299012526.6886415
28686.0	2383437324.955753
28750.0	2213394242.929687
28814.0	2221207061.5960345
28878.0	3481706315.4840117
28942.0	2236886434.0541606
29006.0	3806402566.391351
29070.0	795449284.4414799
29134.0	2260531203.1692877
29200.0	2268692005.4213963
29264.0	2276627890.666813
29328.0	3206084502.8010635
29392.0	2292543149.6748414
29456.0	1257679394.4176662
29520.0	202711956.93084788
29584.0	4076776308.2463655
29648.0	1195085208.0074022
29712.0	2332632058.0567093
29776.0	2219174900.5690193
29840.0	2348785514.1605124
29904.0	2567519820.1678185
29968.0	2365001981.668559
30032.0	1018987612.7129519
30096.0	1699483120.7432523
30160.0	5202274250.457708
30224.0	2244171856.0025907
30288.0	3841106119.444751
30352.0	2414064925.63256
