t(days)	RNP(psia2/cp-D/Mscf)
0.25	145595110.09403554
0.33040833333333336	241368047.07111037
0.4861958333333333	261720570.50753382
0.7977666666666666	163169960.82600436
1.4209083333333332	33237113.076452296
2.667195833333333	6423161.727599926
5.07725	26092423.39278867
9.897375	230070145.2272667
19.198041666666665	82405395.3106574
35.644875	23346507.916668877
66.05958333333334	247231365.67928803
124.99208333333333	229363621.36109614
188.99208333333334	54925219.82224909
252.99208333333334	64596930.377654806
316.99208333333337	108787790.47144702
380.9920833333333	85500232.7452982
444.9916666666666	146721751.71652523
508.9916666666666	152933423.19456232
572.9916666666667	101258347.81375523
636.9916666666667	274355519.20205843
700.9916666666667	342865517.15261394
764.9916666666667	41949792.95633069
828.9916666666667	306590005.67850095
892.9916666666667	385775186.1028757
956.9916666666667	133134715.11106944
1020.9916666666667	8151312.117426708
1084.9916666666666	381957182.66934115
1148.9916666666666	318860887.2985655
1212.9916666666666	196054485.9472221
1276.9916666666666	154882014.1625986
1340.9916666666666	158885436.30802172
1404.9916666666668	14287941.629832506
1468.9916666666668	166616873.85877645
1532.9916666666668	170358081.7113927
1596.9916666666668	324625297.5093298
1660.9916666666668	244881277.68683976
1724.9916666666668	181151898.88860813
1788.9916666666668	184622514.39057633
1852.9916666666668	116851577.17880088
1916.9916666666668	351672553.69532
1980.9916666666668	124936455.9311373
2044.9916666666668	197978065.31873927
2108.991666666667	217934397.0963995
2172.991666666667	204396026.01222086
2236.991666666667	336324831.32250047
2300.991666666667	127477832.4965134
2364.991666666667	363258332.9364819
2428.991666666667	117982403.20950097
2492.991666666667	327678524.9423509
2556.991666666667	417975873.6374432
2620.991666666667	225804125.6869851
2684.991666666667	142216409.24690652
2748.991666666667	25198623.21206245
2812.991666666667	134588179.0472856
2876.991666666667	468094516.66725856
2940.991666666667	193163406.63442975
3004.991666666667	250220092.47114214
3068.991666666667	30666398.661824316
3132.991666666667	498381414.2056507
3196.991666666667	245435728.7282163
3260.991666666667	225418039.4338644
3324.991666666667	261312373.3201815
3388.991666666667	267248649.34957653
3452.991666666667	5164605.300871104
3516.991666666667	140665479.53230894
3580.991666666667	317119142.2012056
3650.0	271705372.18945765
3714.0	224626938.6857179
3778.0	308158215.5778038
3842.0	280069713.6833629
3906.0	282854774.6435953
3970.0	285639665.2366875
4034.0	976602011.9783128
4098.0	962920667.7773484
4162.0	2851343856.1563196
4226.0	1062977131.4185221
4290.0	299576357.2538301
4354.0	2273410560.9191947
4418.0	1717081111.9130864
4482.0	260595443.3330722
4546.0	1116906461.1428442
4610.0	313573941.2485879
4674.0	3012952111.040761
4738.0	302208224.88357043
4802.0	779380992.1822865
4866.0	324847162.104427
4930.0	327677857.4098492
4994.0	182391339.42835978
5058.0	460536846.4823091
5122.0	336206480.25779885
5186.0	1047942928.5154188
5250.0	404606868.5339712
5314.0	344790655.7024004
5378.0	844655627.6101365
5442.0	2353079323.1577406
5506.0	430237923.7769361
5570.0	803399078.4707904
5634.0	2278748459.141051
5698.0	2870044334.4443083
5762.0	1384408005.2830842
5826.0	1593069874.0333035
5890.0	2953170744.5250154
5954.0	2610069104.7835975
6018.0	1390964582.3646445
6082.0	578749404.6317188
6146.0	312236659.28814435
6210.0	3304442229.4738483
6274.0	388728167.0547055
6338.0	1148943098.2368424
6402.0	3347710719.7800784
6466.0	641680728.8374288
6530.0	1019802889.0141287
6594.0	403799320.9293648
6658.0	1350910173.8844013
6722.0	1852407661.1347551
6786.0	809063915.1052386
6850.0	416022700.89089435
6914.0	547352804.237664
6978.0	3466837294.898198
7042.0	2930637034.780136
7106.0	428399017.1894345
7170.0	431517463.2993539
7234.0	434645102.3892468
7300.0	437882267.2112007
7364.0	441030036.2245989
7428.0	444187347.2013509
7492.0	447357933.14076734
7556.0	450534846.66372013
7620.0	453724022.9539432
7684.0	567722371.9143673
7748.0	266178009.80726203
7812.0	463351387.9400018
7876.0	466582543.2489166
7940.0	2233236458.5079994
8004.0	978816364.0703114
8068.0	79671337.32698685
8132.0	1008426490.8248343
8196.0	2390512496.6858954
8260.0	3243385442.5919285
8324.0	1753113112.7169924
8388.0	1900806249.2447329
8452.0	1228727730.1860156
8516.0	1896078218.5855508
8580.0	502807598.51110023
8644.0	117781017.63213623
8708.0	513073548.8776249
8772.0	2046489434.2080545
8836.0	516302307.1107868
8900.0	125370872.56681627
8964.0	837995966.3781345
9028.0	326995324.1471181
9092.0	529973387.2651337
9156.0	3529349342.1316495
9220.0	536873389.7747666
9284.0	540342578.955218
9348.0	719616854.4834652
9412.0	715925903.811718
9476.0	3259443288.719338
9540.0	554322782.1915964
9604.0	881440640.7030215
9668.0	2405482635.5413895
9732.0	564928353.2492726
9796.0	1053061657.8707209
9860.0	572057104.389277
9924.0	2955002238.6049542
9988.0	1245760693.980156
10052.0	299972633.686818
10116.0	1986323549.4182682
10180.0	644225381.5002041
10244.0	593711917.5575542
10308.0	155893495.577434
10372.0	601019589.4455041
10436.0	604694153.0511243
10500.0	2565016403.7570677
10564.0	1838727068.8394835
10628.0	615780539.2607211
10692.0	3137380496.8571053
10756.0	623231725.4235784
10820.0	1839694243.3882957
10884.0	1729770640.133122
10950.0	634616525.0717988
11014.0	1653033139.331201
11078.0	778135483.6164997
11142.0	2156551637.1797423
11206.0	649800922.1968096
11270.0	593919113.2700747
11334.0	657466808.5477659
11398.0	526709851.9862828
11462.0	2069648780.7494988
11526.0	2089808573.9392061
11590.0	5546646.499423981
11654.0	1858079326.9027371
11718.0	168794040.76391733
11782.0	684673232.2865283
11846.0	688609358.6996111
11910.0	692554927.4805757
11974.0	2465993219.858918
12038.0	2481161499.9342446
12102.0	704470313.1743633
12166.0	708465429.05734
12230.0	1960690363.6101518
12294.0	3751233637.0343266
12358.0	2909049968.6848545
12422.0	612495648.2783686
12486.0	728632499.9561946
12550.0	3759370807.5280337
12614.0	2341966330.8868732
12678.0	857423848.9124889
12742.0	744992567.5346774
12806.0	2463169839.2727447
12870.0	247321145.5597645
12934.0	560942169.1396036
12998.0	2587318167.6938963
13062.0	456276748.1850008
13126.0	3756445968.1404424
13190.0	774097034.7201585
13254.0	2458016844.013625
13318.0	782519056.3362199
13382.0	786752607.7331833
13446.0	1941171955.6928334
13510.0	795263492.1336807
13574.0	2171706580.806572
13638.0	3705967012.8199606
13702.0	885662650.9177699
13766.0	654307266.6592778
13830.0	1624089303.5870025
13894.0	3630608506.3249574
13958.0	3783409891.6210394
14022.0	450498409.3087598
14086.0	958781951.1747984
14150.0	838556298.7386442
14214.0	3786178825.4640565
14278.0	3080653704.2664003
14342.0	3448498686.750051
14406.0	355546569.4380076
14470.0	2623983878.264614
14534.0	2444352661.269183
14600.0	869761382.3935541
14664.0	268073993.49590027
14728.0	878762028.9340445
14792.0	1630147774.0875788
14856.0	2800696710.9556193
14920.0	892352478.8287741
14984.0	896910255.5186585
15048.0	2257717015.694107
15112.0	3200123753.206998
15176.0	1039992056.7551241
15240.0	2217456619.4560585
15304.0	2826935213.577298
15368.0	467679714.3145379
15432.0	3783898405.3174763
15496.0	3112454911.40979
15560.0	3798640784.406252
15624.0	943210437.7212949
