t(days)	RNP(psia2/cp-D/Mscf)
0.25	231924651.97216365
0.33040833333333336	52930265.069463454
0.4861958333333333	234280395.70815906
0.7977666666666666	260496740.82517076
1.4209083333333332	4695343.309827343
2.667195833333333	65742286.05671997
5.07725	190107429.81552345
9.897375	12257510.860110162
19.198041666666665	17053913.505089376
35.644875	23346507.916668877
66.05958333333334	31892730.98385814
124.99208333333333	34768520.51484683
188.99208333333334	47111121.707321
252.99208333333334	282621229.25477433
316.99208333333337	110323393.99046758
380.9920833333333	237616606.1614422
444.9916666666666	45051905.0218493
508.9916666666666	190408100.59130704
572.9916666666667	206449152.07105526
636.9916666666667	107205726.35597749
700.9916666666667	37332318.82689656
764.9916666666667	118240033.64701241
828.9916666666667	311496697.3613839
892.9916666666667	372302100.1693783
956.9916666666667	133134715.11106944
1020.9916666666667	108462806.65022236
1084.9916666666666	17723221.344108403
1148.9916666666666	129524656.10193615
1212.9916666666666	19279587.24146177
1276.9916666666666	149774468.70627245
1340.9916666666666	191426274.46401638
1404.9916666666668	30024982.898935705
1468.9916666666668	166616873.85877645
1532.9916666666668	403885300.41983247
1596.9916666666668	351488977.7151723
1660.9916666666668	58997237.49072614
1724.9916666666668	181151898.88860813
1788.9916666666668	184622514.39057633
1852.9916666666668	1484265.237883687
1916.9916666666668	309945399.017461
1980.9916666666668	250577653.63728678
2044.9916666666668	443241126.8237073
2108.991666666667	45858998.87655124
2172.991666666667	53070697.95271036
2236.991666666667	100625450.89623488
2300.991666666667	276197808.92466766
2364.991666666667	213742998.80670202
2428.991666666667	10870283.08679542
2492.991666666667	280932297.6390134
2556.991666666667	180529765.25874355
2620.991666666667	225804125.6869851
2684.991666666667	228761254.94517443
2748.991666666667	231698187.59576446
2812.991666666667	234616843.6766543
2876.991666666667	391014996.53521883
2940.991666666667	164866554.86785042
3004.991666666667	190083010.34598356
3068.991666666667	89084639.47918385
3132.991666666667	266226496.91664457
3196.991666666667	188107279.71973088
3260.991666666667	254653346.55190668
3324.991666666667	471341675.67684865
3388.991666666667	704100.1394346356
3452.991666666667	114773411.1408993
3516.991666666667	145111599.6257919
3580.991666666667	99209496.14053485
3650.0	510593503.3227421
3714.0	277665441.7988754
3778.0	496051849.11630094
3842.0	280069713.6833629
3906.0	337345112.27159137
3970.0	111576901.83796918
4034.0	288424511.00431275
4098.0	291210423.4233365
4162.0	293997733.4407506
4226.0	296785908.07292485
4290.0	299576357.2538301
4354.0	302369668.98874485
4418.0	305165523.374914
4482.0	307964641.9676603
4546.0	310766807.18971515
4610.0	313573941.2485879
4674.0	316384920.3660676
4738.0	319200765.7977119
4802.0	322021495.22140443
4866.0	324847162.104427
4930.0	327677857.4098492
4994.0	330514885.0612758
5058.0	333357283.00328684
5122.0	336206480.25779885
5186.0	339060327.52895206
5250.0	341921580.3480016
5314.0	344790655.7024004
5378.0	347665424.54176015
5442.0	350547599.16987944
5506.0	353436347.3857875
5570.0	356334897.29313457
5634.0	359238392.2972292
5698.0	362150131.0718024
5762.0	365070788.2935507
5826.0	367999646.0533107
5890.0	370934479.3843298
5954.0	373880449.78449535
6018.0	376832388.5205003
6082.0	379794111.82235944
6146.0	382763401.0183122
6210.0	385742709.46892184
6274.0	388728167.0547055
6338.0	391725570.14173484
6402.0	394731047.9447139
6466.0	397743901.4863828
6530.0	400766857.2159577
6594.0	403799320.9293648
6658.0	406840674.9565253
6722.0	409893888.2770246
6786.0	412952960.76070493
6850.0	416022700.89089435
6914.0	419102560.3952134
6978.0	422191969.318306
7042.0	425290335.70223016
7106.0	428399017.1894345
7170.0	431517463.2993539
7234.0	434645102.3892468
7300.0	437882267.2112007
7364.0	441030036.2245989
7428.0	444187347.2013509
7492.0	447357933.14076734
7556.0	450534846.66372013
7620.0	453724022.9539432
7684.0	456922776.4247508
7748.0	460132826.8299062
7812.0	463351387.9400018
7876.0	466582543.2489166
7940.0	469823501.2716356
8004.0	473073726.3737058
8068.0	476332663.6456929
8132.0	479607153.0831864
8196.0	482889389.4954453
8260.0	486181301.1774782
8324.0	489484934.54440796
8388.0	492799847.9522006
8452.0	496125582.96100944
8516.0	499461664.078591
8580.0	502807598.51110023
8644.0	506165628.72217983
8708.0	509532547.25745326
8772.0	512910635.6674675
8836.0	516302307.1107868
8900.0	519704305.7616323
8964.0	523116148.725815
9028.0	526537336.2699547
9092.0	529973387.2651337
9156.0	533417889.27202654
9220.0	536873389.7747666
9284.0	540342578.955218
9348.0	543821938.0881422
9412.0	547310989.6818249
9476.0	550812499.9077023
9540.0	554322782.1915964
9604.0	557847998.2522142
9668.0	561381088.2904247
9732.0	564928353.2492726
9796.0	568486006.0739983
9860.0	572057104.389277
9924.0	575637746.4538482
9988.0	579227444.0617919
10052.0	582829343.1133891
10116.0	586446755.120665
10180.0	590071937.9455806
10244.0	593711917.5575542
10308.0	597358740.4808966
10372.0	601019589.4455041
10436.0	604694153.0511243
10500.0	608378131.0263083
10564.0	612075067.6356385
10628.0	615780539.2607211
10692.0	619502283.0164121
10756.0	623231725.4235784
10820.0	626976775.3358526
10884.0	630728633.8644519
10950.0	634616525.0717988
11014.0	638394963.0927631
11078.0	642183212.8202795
