PVT_p	PVT_m(p)
5744.700000	1079397863.405175
5754.700000	1081237685.298000
5764.700000	1083079608.557439
5774.700000	1084919887.938906
5784.700000	1086758523.778743
5794.700000	1088599274.427988
5804.700000	1090434626.698028
5814.700000	1092261856.910148
5824.700000	1094097682.730661
5834.700000	1095935639.579790
5844.700000	1097757923.206143
5854.700000	1099592605.264957
5864.700000	1101415366.051862
5874.700000	1103236477.455983
5884.700000	1105066249.278149
5894.700000	1106887855.031709
5904.700000	1108707817.607939
5914.700000	1110526137.491085
5924.700000	1112342815.176631
5934.700000	1114161643.003405
5944.700000	1115978834.381368
5954.700000	1117794389.808167
5964.700000	1119597926.030960
5974.700000	1121410201.898846
5984.700000	1123224646.998152
5994.700000	1125027051.814287
6004.700000	1126838229.991605
6014.700000	1128637350.901834
