t(days)	RNP(psia2/cp-D/Mscf)
0.25	1361579.6320402352
0.33040833333333336	1956511.4924027447
0.4861958333333333	56833017.138523266
0.7977666666666666	3478161.411016568
1.4209083333333332	4695343.309827343
2.667195833333333	6423161.727599926
5.07725	8823611.225507181
9.897375	115737189.72275692
19.198041666666665	17053913.505089376
35.644875	180355396.2957787
66.05958333333334	129927925.30868696
124.99208333333333	113813382.94184752
188.99208333333334	54925219.82224909
252.99208333333334	64572087.22804955
316.99208333333337	243360184.88551086
380.9920833333333	81029511.38735723
444.9916666666666	88246151.82561645
508.9916666666666	94960250.1037196
572.9916666666667	101258347.81375523
636.9916666666667	199234087.1754968
700.9916666666667	195658200.273711
764.9916666666667	220271138.73701432
828.9916666666667	76860136.04785705
892.9916666666667	128356932.61397581
956.9916666666667	133134715.11106944
1020.9916666666667	137751224.74883613
1084.9916666666666	84582995.74755874
1148.9916666666666	131690010.62539971
1212.9916666666666	87131958.71887152
1276.9916666666666	154882014.1625986
1340.9916666666666	158885436.30802172
1404.9916666666668	162794908.65718612
1468.9916666666668	141886869.18593353
1532.9916666666668	224488412.54826912
1596.9916666666668	264853847.36268702
1660.9916666666668	177620684.920044
1724.9916666666668	342160711.456997
1788.9916666666668	129705827.62167546
1852.9916666666668	188037042.8047953
1916.9916666666668	189273932.68826422
1980.9916666666668	287758278.53075176
2044.9916666666668	461124502.7386416
2108.991666666667	201211742.1497638
2172.991666666667	204396026.01222086
2236.991666666667	207544703.51001856
2300.991666666667	210659269.27538726
2364.991666666667	213742998.80670202
2428.991666666667	111036173.83683054
2492.991666666667	266469970.07109088
2556.991666666667	366703735.95210135
2620.991666666667	225804125.6869851
2684.991666666667	237310253.13706958
2748.991666666667	231698187.59576446
2812.991666666667	23841221.817592204
2876.991666666667	237519010.22201517
2940.991666666667	93829044.91346776
3004.991666666667	149959354.79227298
3068.991666666667	246137962.7747928
3132.991666666667	257326687.70989314
3196.991666666667	435468709.39319885
3260.991666666667	254653346.55190668
3324.991666666667	205680614.43113098
3388.991666666667	473254125.5670412
3452.991666666667	290373213.2427899
3516.991666666667	249635167.70287275
3580.991666666667	94709600.32573119
3650.0	271705372.18945765
3714.0	274494884.3100728
